"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2062107361217810817","Wed Jun 03 09:41:21 +0000 2026","13","Media Asing Sorot Prabowo Ganti Kepala BGN Sebut Ini... Media asing menyoroti langkah Presiden Prabowo Subianto mengganti Kepala Badan Gizi Nasional (BGN) Selasa malam... Presiden Indonesia Prabowo Subianto pada hari Selasa memecat kepala badan yang bertanggung jawab atas https://t.co/19WUTRkJ2t","2062107361217810817","https://pbs.twimg.com/media/HJ4Tt3jaUAATqNn.jpg","","in","","0","3","7","https://x.com/undefined/status/2062107361217810817","80559922",
"1922880360930505152","Thu May 15 06:38:09 +0000 2025","17429","@txtdrimedia Berikut ini perkiraan penyebab kematian sapi menurut ahli keblinger : 1. Lingkar perut terlampau besar ukuran celana lebih dari 33 mungkin ini ukuran 40. 2. Keracunan MBG. 3. Ditembak mati karena membuat atasan tersinggung. 4. HIDUP JOKOOWIIIIII","1922904317356298676","","txtdrimedia","in","","80","73","1267","https://x.com/undefined/status/1922904317356298676","1868161628342194176",
"2059563130213331392","Thu May 28 04:30:27 +0000 2026","1","@TeddGus Santai aja @TeddGus .. ngapain lw respon netijen yang bilang Prabowo jalan jalan terus.. yang perlu lw respon MBG bikin anak murid keracunan.. kop merah putih mau terbang tapi matiin dlu Indomart sama Alfamart.. padahal itu gede penghasilan pajaknya.. PPh 25 PPh 29 PPn PPh 21","2059854794479771770","","TeddGus","in","","0","0","0","https://x.com/undefined/status/2059854794479771770","1639998093080031233",
"2061055979257774506","Sun May 31 22:34:46 +0000 2026","13","@Ogaman888 Kalo orang pinter dan ga rakus ide itu masih tetap realistis. Gimana caranya? Ya ngga langsung dong dibagi fase lah. Emang kayak MBG. Belum teruji hasilnya tau-tau dilakuin serentak. Boncos iya nambah gizi juga nggak yang ada keracunan.","2061214835304730732","","Ogaman888","in","","0","0","0","https://x.com/undefined/status/2061214835304730732","1678102649676103680",
"2060508822570250314","Sat May 30 02:47:53 +0000 2026","1","@mfsa118 kata pemilihnya karna beliau background militer jadi pasti bagus pertahanan Indonesia faktanya program MBG tidak begitu efektif dan efisien malah banyak siswa keracunan. aku pun bingung bang aku sebagai orang Indonesia ni lebih butuh pendidikan gratis","2060553755674943531","","mfsa118","in","","0","0","0","https://x.com/undefined/status/2060553755674943531","1711883454969962496",
"2059678899399991686","Thu May 28 14:17:07 +0000 2026","4","@bapinski13 @chococookiesess Food-waste parah. Anakku dapet jatah mbg ga sekalipun pernah dikasih makan ke anak soalnya takut keracunan anakku jg belum usia sampe dua tahun pernah ada menunya ayam balado wkwk orang gila. Ga ngerti sebelah mana gizi untuk mencegah stuntingnya kek asal aja. Tai banteng.","2060002434102272229","","bapinski13","in","","0","1","0","https://x.com/undefined/status/2060002434102272229","494045590",
"2060211160536993808","Fri May 29 15:21:56 +0000 2026","0","@Grock230 1. MBG bikin banyak terjadi keracunan. 2. MBG menu banyak terbuang. 3. MBG telah banyak mengeluarkan dana. 4.........","2060381130982056184","","Grock230","in","","0","0","0","https://x.com/undefined/status/2060381130982056184","1674771476346699776",
"2060142382264484108","Fri May 29 11:21:12 +0000 2026","1","@Bambangmulyonoo Mbg ga ada manfaatnya bisa membuat murid mati keracunan","2060320547825922284","","Bambangmulyonoo","in","","0","0","0","https://x.com/undefined/status/2060320547825922284","1003681604",
"2061603862990205055","Tue Jun 02 11:22:17 +0000 2026","0","@MiskinTV_ Rekam jejak MBG Makanan 'Bergizi' 'Gratis': 30.000+ pelajar KERACUNAN (ini dianggap sepele haha) Makanan TIDAK LAYAK MAKAN yaitu LELE MENTAH Bergizi? Yg dikasih biskuit dan snack tinggi gula dan sodium https://t.co/xFgyi3f8rb Korupsinya gk ngotak #StopMBG #CancelMBG","2061770374069858364","","cookieesheesh","in","","0","0","0","https://x.com/undefined/status/2061770374069858364","1899861265620836352",
"2059895517401039019","Thu May 28 17:42:33 +0000 2026","1","@99propaganda Lo aja yg bloon klu semua kerjaannya di kritik berarti kerja nya yg gk beres.. MBG : keracunan Dolar : makin naik Qurban pakai pribadi tp pakai Dana APBN.. Jd apanya yg mau di apresiasi? Jogednya? Macam badut Apanya ayo?","2060054130312519847","","99propaganda","in","","0","0","0","https://x.com/undefined/status/2060054130312519847","1832483193544704000",
